Plate information 
G,1082,1214,1076,654,681,620,618,530,535,,,,
H,901,1002,873,529,479,639,648,409,609,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,7,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,555,511,550,751,814,755,955,1004,1095,,,,
B,517,577,488,1178,1193,1213,1403,1540,1494,,,,
C,586,456,667,908,923,908,816,794,839,,,,
D,1337,1510,1217,996,1017,1001,1059,1075,1159,,,,
E,925,899,882,804,829,921,1083,919,978,,,,
F,2314,1905,1999,822,921,828,848,815,801,,,,
G,1129,1150,1268,646,731,662,549,505,481,,,,
H,771,1055,968,522,481,552,495,523,431,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,8,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,511,595,547,730,703,721,978,1092,1133,,,,
B,469,498,547,1206,1380,1320,1433,1456,1479,,,,
C,583,568,532,950,984,942,842,781,910,,,,
D,1357,1562,1486,1025,1001,1033,1114,1036,1046,,,,
E,875,845,968,956,985,947,933,1080,925,,,,
F,2265,1883,2019,802,873,794,869,747,849,,,,
G,1239,1243,1236,730,730,773,491,598,584,,,,
H,951,940,1003,549,564,644,529,405,514,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,9,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,452,554,629,732,659,612,1032,1184,991,,,,
B,476,558,566,1348,1315,1337,1441,1543,1494,,,,
C,583,542,456,1002,911,952,879,924,781,,,,
D,1451,1461,1512,1061,1125,1121,1124,1087,1143,,,,
E,975,911,951,845,816,954,929,1017,952,,,,
F,2328,1946,2132,926,876,774,836,809,850,,,,
G,1200,1225,1383,677,843,716,567,582,551,,,,
H,958,959,1079,483,513,526,474,495,535,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,10,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,550,415,546,792,647,805,1020,1078,981,,,,
B,409,595,540,1485,1302,1443,1433,1527,1538,,,,
C,507,514,544,953,1024,1008,834,759,902,,,,
D,1394,1509,1530,1068,1187,1092,1163,1005,1135,,,,
E,917,989,1028,1032,871,866,896,938,1035,,,,
F,2373,1764,2225,842,958,821,724,790,761,,,,
G,1388,1286,1414,701,902,663,492,567,544,,,,
H,1034,929,1078,531,501,582,575,532,670,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,11,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,539,505,605,874,702,805,1088,1017,1061,,,,
B,523,460,440,1401,1325,1396,1431,1570,1430,,,,
C,460,512,568,1027,975,972,789,780,836,,,,
D,1417,1578,1519,1119,1006,1194,1180,1058,1014,,,,
E,1008,1039,918,946,880,959,972,973,891,,,,
F,2420,1929,2200,756,933,897,712,783,810,,,,
G,1426,1372,1398,577,661,732,618,565,513,,,,
H,988,953,1170,583,501,493,628,447,580,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,12,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,517,591,498,744,764,818,1072,1066,996,,,,
B,569,542,481,1340,1241,1336,1381,1539,1532,,,,
C,451,486,617,974,1010,985,846,901,720,,,,
D,1533,1541,1662,1191,1088,1237,1123,1052,1098,,,,
E,1051,1054,1069,898,821,848,1024,973,1065,,,,
F,2610,1905,2429,842,1007,886,765,730,866,,,,
G,1360,1401,1492,680,663,683,569,543,407,,,,
H,905,955,1242,597,532,632,555,510,545,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,13,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,491,487,617,822,800,772,1074,1021,1046,,,,
B,646,428,591,1416,1384,1384,1374,1466,1541,,,,
C,627,480,587,927,980,905,832,744,778,,,,
D,1430,1718,1680,1178,1196,1333,1142,1123,1119,,,,
E,1042,1049,1037,887,847,919,966,972,928,,,,
F,2830,2025,2573,1001,947,858,771,735,834,,,,
G,1489,1533,1470,819,840,707,477,531,595,,,,
H,1026,984,1156,582,559,499,558,511,495,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,14,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,651,535,457,786,732,727,1090,1033,1100,,,,
B,524,491,495,1550,1372,1436,1481,1453,1477,,,,
C,569,395,541,892,879,922,679,797,833,,,,
D,1505,1805,1729,1211,1294,1254,1088,1055,1173,,,,
E,1015,1049,1106,922,939,935,904,964,1081,,,,
F,2976,2103,2696,813,965,956,778,784,721,,,,
G,1378,1485,1482,657,838,714,555,572,543,,,,
H,949,966,1044,488,610,542,556,469,504,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,15,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,511,547,525,848,825,762,1004,1150,1034,,,,
B,526,487,472,1468,1549,1454,1495,1483,1403,,,,
C,556,463,555,933,973,946,769,722,792,,,,
D,1578,1796,1794,1250,1339,1410,973,1122,1082,,,,
E,1114,1120,1095,972,966,919,910,946,1075,,,,
F,3070,2200,2892,869,901,926,817,743,768,,,,
G,1559,1393,1413,697,729,787,652,512,598,,,,
H,1017,1082,1070,464,485,479,522,556,482,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,16,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,570,501,553,817,729,880,1042,1106,1063,,,,
B,599,464,468,1531,1403,1420,1399,1433,1520,,,,
C,564,547,555,956,955,1054,875,779,759,,,,
D,1567,1802,1857,1348,1315,1346,871,1059,1004,,,,
E,1071,1093,1084,964,933,1047,1047,917,888,,,,
F,3222,2386,2834,865,938,926,731,756,779,,,,
G,1355,1609,1579,681,751,692,674,616,488,,,,
H,1015,1045,1127,549,545,574,612,530,521,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,17,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,549,681,535,938,924,901,1130,1043,1033,,,,
B,481,572,533,1492,1428,1475,1367,1501,1463,,,,
C,417,479,535,1044,983,969,828,796,780,,,,
D,1592,1879,1936,1465,1348,1264,1015,1057,1035,,,,
E,1261,1049,1127,939,996,1091,1005,910,966,,,,
F,3114,2338,3003,878,914,871,687,674,769,,,,
G,1523,1576,1619,847,716,698,557,604,584,,,,
H,1063,1091,1374,501,521,645,496,475,543,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,18,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,571,601,482,929,911,789,1098,971,1137,,,,
B,522,619,478,1543,1523,1518,1475,1465,1446,,,,
C,526,593,554,1002,1057,982,820,727,806,,,,
D,1627,1893,2024,1378,1358,1417,1078,1036,962,,,,
E,1140,1143,1282,941,1012,1011,972,896,856,,,,
F,3320,2333,3005,1036,875,925,823,742,774,,,,
G,1543,1623,1846,748,828,856,645,486,526,,,,
H,1142,1027,1273,582,592,550,520,485,527,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,19,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,536,501,472,969,916,841,1071,1056,1042,,,,
B,538,465,377,1617,1618,1703,1397,1494,1505,,,,
C,516,483,464,1017,1040,1062,791,681,827,,,,
D,1791,1961,1989,1328,1462,1413,871,1125,1082,,,,
E,1201,1204,1269,1058,987,968,849,947,928,,,,
F,3360,2325,3105,982,943,871,782,738,784,,,,
G,1680,1620,1767,881,786,806,621,480,589,,,,
H,1104,1170,1369,523,576,512,496,508,553,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,20,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,492,514,495,918,899,934,1006,1044,973,,,,
B,519,499,557,1548,1613,1550,1395,1528,1546,,,,
C,581,591,452,1094,1085,1150,769,830,748,,,,
D,1756,2037,1994,1375,1445,1343,989,1091,1027,,,,
E,1370,1233,1239,1069,1018,971,868,918,1018,,,,
F,3319,2373,3294,1028,859,888,830,803,764,,,,
G,1568,1700,1771,794,850,747,596,538,540,,,,
H,1108,1143,1269,607,542,511,543,540,577,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,21,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,580,486,503,953,876,958,1078,1126,1041,,,,
B,534,509,432,1601,1749,1584,1460,1560,1491,,,,
C,665,590,636,1192,1131,1102,737,900,741,,,,
D,1633,2068,1993,1307,1383,1423,1026,1206,992,,,,
E,1296,1243,1337,1037,988,1133,842,921,992,,,,
F,3359,2467,3331,1025,929,849,756,754,744,,,,
G,1769,1665,1825,851,849,836,653,639,518,,,,
H,1157,1104,1431,438,700,576,496,554,620,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,22,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,534,545,540,1040,885,1004,1121,1180,1005,,,,
B,586,462,518,1660,1608,1607,1540,1467,1591,,,,
C,523,522,621,972,1138,1162,783,734,860,,,,
D,1704,2115,2087,1491,1369,1515,997,1080,1107,,,,
E,1372,1291,1318,930,1160,1172,805,971,922,,,,
F,3450,2511,3310,1044,1088,902,755,853,666,,,,
G,1810,1730,1882,763,841,760,577,561,557,,,,
H,1147,1244,1327,613,594,641,458,472,611,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,23,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,593,548,635,1046,1030,957,1055,1060,1039,,,,
B,570,579,501,1724,1687,1668,1424,1526,1530,,,,
C,601,546,559,1071,1077,1224,742,867,796,,,,
D,1728,2072,2128,1565,1510,1521,1005,1076,975,,,,
E,1540,1268,1333,1074,1115,1156,858,892,905,,,,
F,3434,2464,3380,1000,860,1005,706,773,670,,,,
G,1763,1778,1876,786,859,872,666,531,454,,,,
H,1212,1140,1454,586,666,548,542,602,598,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,24,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,617,473,517,1081,938,970,1051,992,1057,,,,
B,457,502,532,1712,1623,1624,1563,1520,1468,,,,
C,605,495,541,1120,1152,1092,835,770,874,,,,
D,1834,2101,2235,1551,1470,1524,1093,1072,1024,,,,
E,1507,1503,1445,1093,1187,1203,798,914,940,,,,
F,3565,2393,3403,1017,986,957,779,710,678,,,,
G,1700,1847,1932,859,825,750,520,502,624,,,,
H,1145,1191,1457,655,695,499,481,484,544,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,25,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,520,496,498,1092,1055,951,1073,1128,983,,,,
B,545,489,596,1656,1761,1620,1446,1584,1524,,,,
C,524,525,420,1094,1089,1186,856,842,832,,,,
D,1730,2134,2135,1463,1498,1444,989,1112,998,,,,
E,1494,1491,1380,1249,1051,1235,841,898,917,,,,
F,3516,2447,3332,1011,980,995,754,812,748,,,,
G,1910,1890,1997,935,938,829,595,580,511,,,,
H,1063,1011,1412,571,589,632,510,601,461,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,26,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,508,589,621,926,961,984,1031,1083,1002,,,,
B,561,528,560,1640,1684,1746,1492,1588,1535,,,,
C,557,550,518,1168,1161,1132,812,759,854,,,,
D,1800,2280,2259,1548,1600,1447,1026,1098,1034,,,,
E,1500,1403,1513,1095,1150,1239,924,894,983,,,,
F,3493,2443,3521,845,1025,1001,751,756,832,,,,
G,1856,1858,2023,921,882,775,555,578,463,,,,
H,1186,1227,1532,542,540,638,523,596,598,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,27,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,640,566,574,1116,962,1104,1070,1046,1030,,,,
B,547,646,552,1721,1703,1758,1350,1415,1470,,,,
C,512,539,525,1144,1178,1081,765,732,900,,,,
D,1916,2300,2285,1445,1413,1583,975,1012,1083,,,,
E,1615,1406,1496,1172,1081,1244,923,863,917,,,,
F,3446,2532,3435,941,932,952,728,782,781,,,,
G,1826,2039,1944,855,884,874,550,574,527,,,,
H,1121,1107,1449,490,650,495,538,580,551,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,28,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,545,591,505,1175,1167,1000,1008,990,1049,,,,
B,434,549,581,1785,1778,1747,1311,1479,1520,,,,
C,598,531,556,1148,1176,1317,746,756,813,,,,
D,1867,2256,2291,1525,1497,1532,1014,1218,1072,,,,
E,1474,1537,1648,1113,1124,1180,975,825,994,,,,
F,3437,2436,3450,1038,1064,946,751,675,782,,,,
G,1886,1933,1979,877,883,687,504,471,610,,,,
H,1071,1078,1467,586,690,620,490,560,474,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,29,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,486,562,577,1123,1006,1040,1045,1036,1067,,,,
B,565,555,552,1853,1727,1764,1255,1531,1441,,,,
C,525,539,524,1216,1212,1267,829,725,810,,,,
D,1799,2358,2302,1572,1484,1528,1012,1042,1123,,,,
E,1593,1592,1557,1200,1145,1293,956,969,933,,,,
F,3454,2357,3294,1012,1054,1053,748,802,789,,,,
G,1865,1970,2093,962,1011,773,470,556,472,,,,
H,1126,1251,1545,618,494,559,492,581,640,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,30,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,474,625,522,1134,1057,1096,1037,1099,957,,,,
B,579,608,521,1691,1869,1819,1424,1461,1600,,,,
C,510,579,535,1191,1174,1192,809,747,745,,,,
D,1900,2293,2356,1543,1530,1581,989,1193,1123,,,,
E,1581,1579,1616,1251,1207,1179,1037,948,876,,,,
F,3380,2576,3386,1048,1026,879,642,709,783,,,,
G,2005,1951,2094,947,886,807,563,504,432,,,,
H,1044,1132,1478,489,573,549,446,633,495,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
