Plate information 
C,3478,3298,3311,3262,3085,1667,1597,1628,1597,1538,,,
D,1317,1235,1259,1125,1163,1052,934,1018,979,854,,,
E,1698,1384,1571,1396,1472,973,968,913,943,815,,,
F,1561,1612,1591,1650,1691,742,810,703,858,755,,,
G,1086,1096,1067,1000,982,771,779,663,766,611,,,
H,497,451,489,417,507,508,437,472,496,550,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,10,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,402,611,471,446,463,517,,,,,,,
B,1938,1932,1769,1869,1841,1359,1453,1434,1326,1438,,,
C,3555,3415,3396,3384,3169,1769,1666,1816,1735,1435,,,
D,1310,1225,1240,1173,1217,962,874,989,916,825,,,
E,1617,1384,1494,1574,1499,901,838,930,980,844,,,
F,1630,1689,1632,1714,1524,846,841,865,939,812,,,
G,1079,1073,1029,1083,1109,770,882,827,782,579,,,
H,290,445,438,436,482,401,639,550,351,451,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,11,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,512,532,542,402,531,497,,,,,,,
B,1949,1833,1940,1855,1840,1507,1427,1416,1412,1387,,,
C,3614,3426,3347,3444,3096,1680,1641,1716,1618,1426,,,
D,1236,1138,1268,1220,1192,935,844,1037,945,944,,,
E,1599,1592,1560,1684,1569,929,945,951,979,910,,,
F,1678,1730,1744,1731,1703,881,780,830,857,887,,,
G,1125,1078,1216,1068,1174,843,783,601,786,607,,,
H,444,426,375,418,341,476,425,364,452,439,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,12,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,454,497,357,459,474,396,,,,,,,
B,1894,1940,1927,1955,1851,1516,1474,1419,1479,1523,,,
C,3535,3390,3327,3193,3020,1619,1711,1678,1663,1516,,,
D,1383,1259,1401,1319,1240,1013,844,921,949,848,,,
E,1635,1555,1534,1463,1515,1012,1019,1022,1098,875,,,
F,1761,1710,1713,1745,1799,931,736,835,892,848,,,
G,1080,1172,1031,1257,1179,693,797,743,812,645,,,
H,421,429,546,385,455,478,461,509,597,455,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,13,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,344,480,447,518,523,408,,,,,,,
B,1981,1997,2005,1974,1881,1499,1561,1294,1447,1466,,,
C,3423,3331,3242,3264,3140,1745,1638,1670,1652,1467,,,
D,1425,1384,1328,1193,1288,987,923,985,879,929,,,
E,1650,1492,1554,1638,1500,920,967,988,941,875,,,
F,1582,1673,1751,1793,1697,720,769,948,886,771,,,
G,1072,1178,1087,1154,1202,782,801,811,820,839,,,
H,364,501,402,404,483,607,489,457,458,396,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,14,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,483,391,426,519,427,384,,,,,,,
B,2023,1991,1965,1921,1955,1443,1362,1425,1375,1536,,,
C,3400,3269,3261,3182,3017,1689,1679,1653,1693,1522,,,
D,1419,1434,1294,1372,1449,916,999,963,885,943,,,
E,1644,1512,1569,1488,1542,933,1011,1024,908,905,,,
F,1615,1753,1865,1751,1784,770,792,864,821,762,,,
G,1025,1153,1157,1001,1211,798,607,768,861,612,,,
H,514,518,411,493,464,505,463,480,456,486,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,15,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,439,461,452,442,512,502,,,,,,,
B,1998,1913,1979,1962,2049,1442,1460,1513,1382,1461,,,
C,3346,3320,3229,3060,3148,1696,1652,1640,1606,1520,,,
D,1406,1331,1385,1351,1310,916,1037,1023,995,891,,,
E,1517,1407,1549,1516,1638,959,955,1048,961,912,,,
F,1862,1652,1890,1770,1857,901,871,734,892,907,,,
G,1125,1133,1142,1141,1144,825,702,737,624,625,,,
H,378,389,440,364,437,555,522,448,445,501,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,16,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,368,417,454,412,485,464,,,,,,,
B,2120,1992,2026,1958,2074,1451,1323,1399,1454,1427,,,
C,3228,3219,3152,3273,3040,1588,1542,1721,1722,1488,,,
D,1370,1371,1348,1350,1324,908,896,916,1037,962,,,
E,1660,1641,1516,1566,1592,977,870,882,936,911,,,
F,1823,1871,1916,1918,1907,789,789,812,847,769,,,
G,1220,1260,1145,1095,1119,713,679,697,806,628,,,
H,465,421,398,479,495,414,547,567,455,441,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,17,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,345,289,512,549,410,444,,,,,,,
B,2089,2050,1932,2047,2162,1444,1372,1440,1448,1507,,,
C,3339,3223,3204,3213,3089,1778,1547,1617,1630,1483,,,
D,1439,1381,1396,1453,1471,1000,991,857,974,892,,,
E,1618,1490,1484,1662,1471,885,1037,914,934,812,,,
F,1801,1817,2038,2021,1988,824,689,964,817,856,,,
G,1188,1212,1284,1119,1122,731,696,826,789,647,,,
H,497,482,440,468,390,501,554,536,435,522,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,18,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,487,419,492,375,379,485,,,,,,,
B,2192,2168,2090,2150,2173,1392,1449,1400,1448,1466,,,
C,3334,3401,3255,3168,3100,1661,1681,1577,1689,1447,,,
D,1489,1473,1532,1350,1408,955,962,895,968,915,,,
E,1647,1477,1601,1551,1529,1004,851,1006,818,850,,,
F,1773,2066,1985,1928,2072,796,743,767,709,857,,,
G,1163,1204,1232,1228,1164,719,794,763,751,635,,,
H,459,387,449,400,482,348,470,410,511,468,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,19,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,385,536,506,429,531,448,,,,,,,
B,2231,2221,2155,2232,2318,1387,1433,1506,1508,1557,,,
C,3432,3405,3404,3123,3064,1640,1760,1638,1672,1500,,,
D,1425,1519,1441,1423,1440,1015,1014,932,905,1031,,,
E,1452,1515,1634,1511,1581,948,1010,972,1016,854,,,
F,1855,1988,2079,2055,2037,819,821,708,762,820,,,
G,1203,1249,1305,1214,1181,820,713,717,724,718,,,
H,435,410,483,498,479,507,352,561,527,586,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,20,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,442,370,423,354,393,423,,,,,,,
B,2272,2275,2214,2303,2251,1460,1417,1380,1472,1571,,,
C,3456,3307,3297,3208,3247,1599,1655,1547,1579,1417,,,
D,1386,1523,1466,1387,1630,908,980,939,975,921,,,
E,1674,1459,1567,1676,1609,1018,932,1048,908,887,,,
F,2048,2107,2133,2172,1955,853,787,945,792,837,,,
G,1262,1181,1206,1290,1169,745,744,823,813,728,,,
H,349,458,448,482,459,532,410,573,426,523,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,21,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,390,421,481,437,406,423,,,,,,,
B,2251,2247,2323,2215,2403,1474,1521,1498,1410,1473,,,
C,3473,3268,3378,3191,3157,1588,1737,1739,1429,1489,,,
D,1480,1447,1414,1508,1560,935,1005,1071,857,966,,,
E,1650,1510,1605,1691,1631,930,921,951,991,797,,,
F,1912,2168,2273,2224,2173,792,810,825,866,875,,,
G,1154,1246,1261,1290,1174,750,730,723,611,594,,,
H,326,319,501,493,427,389,432,537,402,568,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,22,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,439,563,414,441,522,462,,,,,,,
B,2431,2504,2435,2363,2437,1374,1501,1523,1441,1515,,,
C,3606,3348,3354,3302,3135,1659,1583,1594,1610,1451,,,
D,1501,1551,1489,1527,1520,1017,868,1034,782,961,,,
E,1683,1605,1649,1637,1621,909,987,1021,952,795,,,
F,2058,2207,2271,2240,2164,855,780,858,851,815,,,
G,1302,1414,1211,1263,1248,710,839,673,774,708,,,
H,496,430,440,451,458,411,433,513,446,522,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,23,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,491,510,512,429,410,551,,,,,,,
B,2492,2394,2348,2349,2508,1442,1346,1336,1557,1556,,,
C,3526,3401,3463,3318,3326,1612,1591,1583,1637,1378,,,
D,1458,1504,1457,1621,1568,939,976,932,978,906,,,
E,1757,1555,1583,1693,1720,969,976,947,957,913,,,
F,2029,2172,2239,2294,2203,852,767,790,881,803,,,
G,1279,1344,1368,1339,1393,751,761,699,714,637,,,
H,407,338,494,470,440,378,406,411,418,449,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,24,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,512,538,390,454,422,488,,,,,,,
B,2493,2449,2348,2375,2495,1531,1462,1462,1468,1484,,,
C,3457,3337,3388,3236,3246,1664,1679,1598,1588,1442,,,
D,1462,1438,1511,1677,1606,1020,980,1025,1020,948,,,
E,1818,1504,1780,1785,1600,903,784,944,963,940,,,
F,1838,2262,2360,2339,2379,787,816,736,866,872,,,
G,1229,1294,1325,1231,1326,780,767,707,806,645,,,
H,420,513,519,452,459,401,462,617,511,390,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,25,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,453,428,509,509,589,400,,,,,,,
B,2533,2493,2438,2353,2512,1499,1557,1450,1567,1493,,,
C,3487,3438,3437,3384,3289,1493,1650,1620,1698,1431,,,
D,1556,1635,1526,1485,1652,990,889,1079,891,942,,,
E,1670,1535,1697,1681,1670,987,978,939,993,778,,,
F,1965,2349,2302,2311,2378,782,770,890,916,851,,,
G,1320,1358,1481,1337,1222,738,785,662,728,673,,,
H,513,333,442,495,378,406,469,432,367,463,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,26,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,532,544,452,545,467,440,,,,,,,
B,2525,2413,2508,2576,2562,1603,1476,1483,1518,1475,,,
C,3583,3570,3523,3369,3405,1590,1592,1580,1626,1393,,,
D,1575,1534,1630,1828,1537,949,965,972,916,1091,,,
E,1610,1562,1641,1619,1578,1016,863,920,893,842,,,
F,2088,2291,2474,2355,2339,836,724,796,825,815,,,
G,1361,1327,1345,1214,1301,758,802,723,706,646,,,
H,464,480,413,371,489,467,474,518,534,453,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,27,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,518,461,377,552,548,523,,,,,,,
B,2594,2556,2465,2450,2578,1511,1455,1631,1453,1506,,,
C,3542,3495,3408,3327,3375,1751,1584,1375,1545,1545,,,
D,1725,1695,1599,1707,1631,981,861,1034,935,913,,,
E,1707,1487,1583,1716,1720,1049,961,901,932,736,,,
F,2093,2360,2484,2403,2300,804,813,716,846,841,,,
G,1290,1382,1435,1233,1338,675,650,719,713,624,,,
H,399,325,464,406,457,563,459,429,485,539,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,28,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,427,379,413,577,466,539,,,,,,,
B,2714,2562,2515,2506,2636,1544,1482,1525,1366,1543,,,
C,3708,3418,3492,3405,3274,1604,1532,1615,1709,1463,,,
D,1550,1616,1627,1651,1644,909,957,996,914,959,,,
E,1725,1641,1646,1611,1697,876,1015,947,994,836,,,
F,2092,2414,2587,2510,2300,798,869,845,941,707,,,
G,1285,1455,1427,1193,1264,698,710,646,675,577,,,
H,476,447,476,497,466,527,476,569,555,485,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,29,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,450,471,424,501,433,366,,,,,,,
B,2678,2643,2606,2536,2600,1579,1603,1519,1447,1524,,,
C,3537,3473,3484,3353,3302,1663,1561,1549,1747,1453,,,
D,1613,1693,1652,1726,1570,903,956,968,848,923,,,
E,1594,1585,1633,1601,1664,949,961,899,928,829,,,
F,2037,2481,2400,2531,2481,757,702,863,811,754,,,
G,1314,1307,1442,1336,1471,722,767,688,849,682,,,
H,444,529,396,517,404,530,502,566,422,486,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,30,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,382,595,421,485,543,466,,,,,,,
